min_af,min_dp,min_qual,require_gt,miner_n,tp,fp,fn,precision,recall,f1,gt_match,gt_total
0.15,0,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,10,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,15,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,20,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,25,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,30,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.2,0,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.2,0,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
